Hcell	Pcell	Delta_mean_%	meanP	maxP	Variance_P	CV_P	meanH	maxH	new_meanH	new_maxH	new_Variance_H	new_CV_H
Cell#529	3950_3_1_3_1_1	16.87	183314994718.4994	403127438138.43054	8777.570018573422	0.5110803230248248	13700000000.0	37121000000.0	16010639822.665785	37121000000.0	80.3583792511753	0.5598953965485178
Cell#443	3961_3_0	-52.49	92601042442.98628	463512817949.3803	4372.496352748507	0.7140832600739107	3138000000.0	7035000000.0	1491423091.458478	7035000000.0	0.9703687247594331	0.6604919554153433
Cell#604	3945_3_1_0	2.22	149585911521.70386	398846579334.41394	6929.394289620523	0.5564894620017543	12210000000.0	29646000000.0	12480647791.258661	29646000000.0	31.88773448806227	0.45245428461438625
Cell#286	3951_3_1_2_3	-40.46	111328629382.65182	396494160071.06775	4342.584688142537	0.5919258221815096	10508000000.0	23491000000.0	6255561528.358847	23491000000.0	15.75172539300229	0.6344505320165327
Cell#67	3950_3_2_2_0_2	-41.34	133883803473.47798	448739301527.1808	6235.204262969161	0.58978985920085	19788000000.0	36760999999.99999	11607736709.741848	36760999999.99999	39.57314979254991	0.5419419388590989
Cell#673	3949_3_1_2	-6.9	135383980633.40811	486964536161.2389	6693.775790747816	0.6043218561932665	3448000000.0	11703000000.0	3210258010.3447127	11703000000.0	3.8637571037000207	0.6123010017471967
Cell#219	3950_2_2_0	-39.53	106339680567.58777	343082656492.88055	3992.1245329863855	0.5941644845696353	20287000000.0	36449000000.0	12268252627.346142	36449000000.0	41.36793729559407	0.5242630175191597
Cell#473	3947_0_1_1	-28.98	158268071195.73624	452169359541.2711	9557.120715759997	0.6176895102870289	14142999999.999998	22337000000.0	10045152219.104595	22337000000.0	16.61893503558892	0.40583086419780307
Cell#137	3950_0_2_1_3_3	-32.21	73201797175.32504	370133143679.1632	2371.3370567325896	0.6652347086648018	18095000000.0	35043000000.0	12266892394.93695	35043000000.0	14.410068939323791	0.3094556907646391
Cell#282	3961_3_2	-16.64	144937924336.29364	434622930902.5122	7707.264984851913	0.6057146920605907	33915999999.999996	86032000000.00002	28274261469.208935	86032000000.00002	304.3767173331332	0.6170416001442199
Cell#670	3945_1_3_2	19.98	179906771668.52896	422744428304.6339	9358.594188912408	0.5377219902156726	18467000000.0	46483999999.99999	22155834705.105534	46483999999.99999	92.12952253966854	0.4332227888847988
Cell#757	3940_0_3	-42.93	62867267734.39952	427736038549.51575	1449.4697739020598	0.6055918135940364	27330000000.0	47631000000.0	15598204730.438635	47631000000.0	10.69840913268152	0.20969350787991925
Cell#471	3939_0_3_0	-10.01	122096659507.41922	327747100059.90173	3600.690808776512	0.49146108260248833	6675000000.0	15364000000.0	6007007540.641825	15364000000.0	7.31947259093292	0.4503827177897523
Cell#387	3950_3_1_1_3_2	-4.01	181503764940.02103	444302758452.928	9467.887698402861	0.5360939559796075	44262000000.0	87147000000.0	42484743606.81619	87147000000.0	271.3343626636601	0.38772106518274774
Cell#543	3951_1_3_3_3	-49.46	91539162904.52965	439881156432.57916	3862.7064762345617	0.6789517581053941	24770000000.0	47226000000.00001	12517700120.106358	47226000000.00001	37.903975986647396	0.491833199500284
Cell#677	3943_2_2	4.59	211905288488.80878	454084690843.9807	10579.489594104778	0.48538970677265497	28035000000.0	58941000000.0	29322029148.196438	58941000000.0	152.12185547758406	0.4206314933298189
Cell#548	3946_0_0_1	-18.82	149008993494.97723	407391065713.78296	6008.630330235053	0.5202058857651896	19897000000.000004	39930000000.0	16151953333.102262	39930000000.0	50.71886404807202	0.44091990775463347
Cell#293	3952_0_2_1	-32.65	119255104368.35855	385780524587.43494	6975.661013220872	0.7003509256371498	5917999999.999999	9602000000.0	3985603676.4483104	9602000000.0	3.2540927174555745	0.45260656668956434
